id;reduction;rare;shuffle;ngrams;vectorSize;window;minCount;modelArchitecture;trainAlgorithm;percentage
1;lemma;True;True;training;500;10;5;skipgram;softmax;0.1
2;lemma;True;True;training;500;10;5;skipgram;softmax;0.2
3;lemma;True;True;training;500;10;5;skipgram;softmax;0.3
4;lemma;True;True;training;500;10;5;skipgram;softmax;0.4
5;lemma;True;True;training;500;10;5;skipgram;softmax;0.5
6;lemma;True;True;training;500;10;5;skipgram;softmax;0.6
7;lemma;True;True;training;500;10;5;skipgram;softmax;0.7
8;lemma;True;True;training;500;10;5;skipgram;softmax;0.8
9;lemma;True;True;training;500;10;5;skipgram;softmax;0.9
10;lemma;True;True;training;500;10;5;skipgram;softmax;1.0
