id;reduction;rare;shuffle;ngrams;vectorSize;window;minCount;modelArchitecture;trainAlgorithm;length
1;lemma;True;True;training;500;10;5;skipgram;softmax;1
2;lemma;True;False;training;500;10;5;skipgram;softmax;1
3;lemma;True;True;training;500;10;5;skipgram;softmax;5
4;lemma;True;False;training;500;10;5;skipgram;softmax;5
5;lemma;True;True;training;500;10;5;skipgram;softmax;10
6;lemma;True;False;training;500;10;5;skipgram;softmax;10
7;lemma;True;True;training;500;10;5;skipgram;softmax;50
8;lemma;True;False;training;500;10;5;skipgram;softmax;50
9;lemma;True;True;training;500;10;5;skipgram;softmax;100
10;lemma;True;False;training;500;10;5;skipgram;softmax;100
11;lemma;True;True;training;500;10;5;skipgram;softmax;250
12;lemma;True;False;training;500;10;5;skipgram;softmax;250
13;lemma;True;True;training;500;10;5;skipgram;softmax;500
14;lemma;True;False;training;500;10;5;skipgram;softmax;500
15;lemma;True;True;training;500;10;5;skipgram;softmax;600
16;lemma;True;False;training;500;10;5;skipgram;softmax;600
17;lemma;True;True;training;500;10;5;skipgram;softmax;700
18;lemma;True;False;training;500;10;5;skipgram;softmax;700
19;lemma;True;True;training;500;10;5;skipgram;softmax;1000
20;lemma;True;False;training;500;10;5;skipgram;softmax;1000
21;lemma;True;True;training;500;10;5;skipgram;softmax;1500
22;lemma;True;False;training;500;10;5;skipgram;softmax;1500
23;lemma;True;True;training;500;10;5;skipgram;softmax;2000
24;lemma;True;False;training;500;10;5;skipgram;softmax;2000
25;lemma;True;True;training;500;10;5;skipgram;softmax;corpus
26;lemma;True;False;training;500;10;5;skipgram;softmax;corpus
