term1;term2;score
acceleration;accident;0.14499581
acceleration;actuator;0.34714392
acceleration;adaptive_cruise;0.26581746
acceleration;algorithm;0.22630848
acceleration;angle;0.19378091
acceleration;assistance;0.14185716
acceleration;automate;0.11281357
acceleration;automotive;0.21577002
acceleration;autonomous;0.12457978
acceleration;axle;0.27728948
acceleration;battery;0.15453579
acceleration;brake;0.45377162
acceleration;brake_pedal;0.34572053
acceleration;bus;0.039345995
acceleration;camera;0.099178106
acceleration;capacity;0.18837115
acceleration;car;0.18562646
acceleration;characteristic;0.21324164
acceleration;circuit;0.122145034
acceleration;clutch;0.15722772
acceleration;collision;0.19417594
acceleration;combustion;0.32536176
acceleration;combustion_chamber;0.27231997
acceleration;commercial_vehicle;0.23388225
acceleration;communication;0.13147207
acceleration;component;0.16384031
acceleration;condition;0.05743137
acceleration;connection;0.18068
acceleration;consumption;0.23303549
acceleration;controller;0.20078966
acceleration;curve;0.32247245
acceleration;cylinder;0.29948992
acceleration;define;0.039307546
acceleration;detection;0.20590924
acceleration;diesel;0.20609148
acceleration;diesel_engine;0.27477163
acceleration;drive;0.2153615
acceleration;dynamic;0.28758037
acceleration;electric_motor;0.37705675
acceleration;electrical;0.17870349
acceleration;emission;0.22897813
acceleration;engine;0.388759
acceleration;equation;0.07854641
acceleration;error;0.09932235
acceleration;factor;0.12795822
acceleration;fault;0.09683125
acceleration;friction;0.261367
acceleration;fuel;0.2281581
acceleration;functional;0.1380005
acceleration;gasoline;0.15522382
acceleration;gear;0.18758625
acceleration;hybrid;0.26359397
acceleration;hydraulic;0.20947884
acceleration;ignition;0.24070318
acceleration;injection;0.25784567
acceleration;input;0.13736577
acceleration;intelligent;0.20009714
acceleration;interface;0.2677332
acceleration;internal_combustion_engine;0.23144436
acceleration;lane;0.14840035
acceleration;lateral;0.2880735
acceleration;lateral_acceleration;0.5569568
acceleration;limit;0.12789597
acceleration;load;0.15241086
acceleration;longitudinal;0.18891118
acceleration;manufacturer;0.105873056
acceleration;maximum;0.17589945
acceleration;measure;0.07802794
acceleration;measurement;0.23116107
acceleration;mechanical;0.24293034
acceleration;message;-0.017451473
acceleration;mode;0.22538869
acceleration;module;0.16581117
acceleration;moment;0.14339258
acceleration;motor;0.29202884
acceleration;navigation;0.19603296
acceleration;passenger;0.12985656
acceleration;optimal;0.22390361
acceleration;output;0.24186648
acceleration;parameter;0.21715732
acceleration;phase;0.17596789
acceleration;piston;0.2987144
acceleration;pump;0.12513454
acceleration;ratio;0.18622518
acceleration;rear;0.23006818
acceleration;rear_wheel;0.37725863
acceleration;requirement;0.07407822
acceleration;resistance;0.18988274
acceleration;risk;0.100665495
acceleration;safety;0.14865132
acceleration;scenario;0.101118065
acceleration;sensor;0.2783241
acceleration;shaft;0.12689555
acceleration;signal;0.17820294
acceleration;simulation;0.24282803
acceleration;slip;0.14351349
acceleration;spark_plug;0.18746565
acceleration;speed;0.47535864
acceleration;spring;0.08592822
acceleration;stability;0.27293766
acceleration;steer;0.14844045
acceleration;step;0.14619167
acceleration;suspension;0.20895943
acceleration;switch;0.18985255
acceleration;target;0.109054945
acceleration;task;0.01775159
acceleration;test;0.1503773
acceleration;tire;0.24211808
acceleration;torque;0.4634743
acceleration;transmission;0.30486223
acceleration;valve;0.15928254
acceleration;variable;0.2764655
acceleration;vehicle;0.21868478
acceleration;velocity;0.38997746
acceleration;voltage;0.15882373
