id;reduction;rare;shuffle;ngrams;vectorSize;window;minCount;trainAlgorithm;methodSampl
1;lemma;True;True;training;50;2;0;CBOW;softmax
2;lemma;True;True;training;50;2;0;skipgram;softmax
3;lemma;True;True;training;50;2;0;CBOW;negSampl
4;lemma;True;True;training;50;2;0;skipgram;negSampl
5;lemma;True;True;training;50;2;5;CBOW;softmax
6;lemma;True;True;training;50;2;5;skipgram;softmax
7;lemma;True;True;training;50;2;5;CBOW;negSampl
8;lemma;True;True;training;50;2;5;skipgram;negSampl
9;lemma;True;True;training;50;2;20;CBOW;softmax
10;lemma;True;True;training;50;2;20;skipgram;softmax
11;lemma;True;True;training;50;2;20;CBOW;negSampl
12;lemma;True;True;training;50;2;20;skipgram;negSampl
13;lemma;True;True;training;50;2;50;CBOW;softmax
14;lemma;True;True;training;50;2;50;skipgram;softmax
15;lemma;True;True;training;50;2;50;CBOW;negSampl
16;lemma;True;True;training;50;2;50;skipgram;negSampl
17;lemma;True;True;training;50;5;0;CBOW;softmax
18;lemma;True;True;training;50;5;0;skipgram;softmax
19;lemma;True;True;training;50;5;0;CBOW;negSampl
20;lemma;True;True;training;50;5;0;skipgram;negSampl
21;lemma;True;True;training;50;5;5;CBOW;softmax
22;lemma;True;True;training;50;5;5;skipgram;softmax
23;lemma;True;True;training;50;5;5;CBOW;negSampl
24;lemma;True;True;training;50;5;5;skipgram;negSampl
25;lemma;True;True;training;50;5;20;CBOW;softmax
26;lemma;True;True;training;50;5;20;skipgram;softmax
27;lemma;True;True;training;50;5;20;CBOW;negSampl
28;lemma;True;True;training;50;5;20;skipgram;negSampl
29;lemma;True;True;training;50;5;50;CBOW;softmax
30;lemma;True;True;training;50;5;50;skipgram;softmax
31;lemma;True;True;training;50;5;50;CBOW;negSampl
32;lemma;True;True;training;50;5;50;skipgram;negSampl
33;lemma;True;True;training;50;10;0;CBOW;softmax
34;lemma;True;True;training;50;10;0;skipgram;softmax
35;lemma;True;True;training;50;10;0;CBOW;negSampl
36;lemma;True;True;training;50;10;0;skipgram;negSampl
37;lemma;True;True;training;50;10;5;CBOW;softmax
38;lemma;True;True;training;50;10;5;skipgram;softmax
39;lemma;True;True;training;50;10;5;CBOW;negSampl
40;lemma;True;True;training;50;10;5;skipgram;negSampl
41;lemma;True;True;training;50;10;20;CBOW;softmax
42;lemma;True;True;training;50;10;20;skipgram;softmax
43;lemma;True;True;training;50;10;20;CBOW;negSampl
44;lemma;True;True;training;50;10;20;skipgram;negSampl
45;lemma;True;True;training;50;10;50;CBOW;softmax
46;lemma;True;True;training;50;10;50;skipgram;softmax
47;lemma;True;True;training;50;10;50;CBOW;negSampl
48;lemma;True;True;training;50;10;50;skipgram;negSampl
49;lemma;True;True;training;100;2;0;CBOW;softmax
50;lemma;True;True;training;100;2;0;skipgram;softmax
51;lemma;True;True;training;100;2;0;CBOW;negSampl
52;lemma;True;True;training;100;2;0;skipgram;negSampl
53;lemma;True;True;training;100;2;5;CBOW;softmax
54;lemma;True;True;training;100;2;5;skipgram;softmax
55;lemma;True;True;training;100;2;5;CBOW;negSampl
56;lemma;True;True;training;100;2;5;skipgram;negSampl
57;lemma;True;True;training;100;2;20;CBOW;softmax
58;lemma;True;True;training;100;2;20;skipgram;softmax
59;lemma;True;True;training;100;2;20;CBOW;negSampl
60;lemma;True;True;training;100;2;20;skipgram;negSampl
61;lemma;True;True;training;100;2;50;CBOW;softmax
62;lemma;True;True;training;100;2;50;skipgram;softmax
63;lemma;True;True;training;100;2;50;CBOW;negSampl
64;lemma;True;True;training;100;2;50;skipgram;negSampl
65;lemma;True;True;training;100;5;0;CBOW;softmax
66;lemma;True;True;training;100;5;0;skipgram;softmax
67;lemma;True;True;training;100;5;0;CBOW;negSampl
68;lemma;True;True;training;100;5;0;skipgram;negSampl
69;lemma;True;True;training;100;5;5;CBOW;softmax
70;lemma;True;True;training;100;5;5;skipgram;softmax
71;lemma;True;True;training;100;5;5;CBOW;negSampl
72;lemma;True;True;training;100;5;5;skipgram;negSampl
73;lemma;True;True;training;100;5;20;CBOW;softmax
74;lemma;True;True;training;100;5;20;skipgram;softmax
